observedAt,linkId,platform,handle,canonicalUrl,audienceKind,audienceCount,audienceCountRaw,source
2026-03-10T02:28:53.048Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-10T02:29:19.676Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
2026-03-11T07:18:51.860Z,instagram,instagram,peterryszkiewicz,https://www.instagram.com/peterryszkiewicz/,followers,88,88 Followers,public-cache
